Species,GarciaPenaMLog,GarciaPenaFLog,GarciaPenaAveLog,IwaniukArnoldLog,IwaniukNelsonLog,IwaniukDeanNelsonLog,SayolLog,CorfieldLog
Caprimulgus_macrurus,NA,NA,NA,NA,0.009950331,NA,0.191,NA
Caprimulgus_vociferus,NA,NA,NA,NA,-0.198450939,NA,-0.229,NA
Caracara_plancus,NA,NA,NA,NA,2.308567165,NA,2.351,NA
Cardellina_rubrifrons,NA,NA,NA,NA,-0.84397007,NA,-0.834,NA
Carduelis_carduelis,NA,NA,NA,NA,-0.430782916,NA,-0.4,NA
Carduelis_flammea,NA,NA,NA,NA,-0.527632742,NA,-0.548,NA
Carduelis_pinus,NA,NA,NA,NA,-0.562118918,NA,-0.582,NA
Carduelis_tristis,NA,NA,NA,NA,-0.616186139,NA,NA,NA
Carpodacus_mexicanus,NA,NA,NA,NA,-0.248461359,NA,-0.261,NA
Carpodacus_purpureus,NA,NA,NA,NA,-0.105360516,NA,-0.119,NA
Caryothraustes_poliogaster,NA,NA,NA,NA,0.357674444,NA,0.354,NA
Catharacta_maccormicki,1.887069649,1.948763218,1.917916434,NA,1.915450942,NA,NA,NA
Cathartes_aura,NA,NA,NA,NA,2.30058309,NA,2.208,NA
Catharus_fuscescens,NA,NA,NA,NA,-0.083381609,NA,-0.105,NA
Catoptrophorus_semipalmatus,0.88376754,0.806475866,0.845121703,NA,0.845868268,NA,0.848,NA
Celeus_castaneus,NA,NA,NA,NA,0.746687947,NA,0.875,0.746687947
Centrocercus_urophasianus,NA,NA,NA,NA,1.386294361,NA,1.356,NA
Centropus_bengalensis,NA,NA,NA,NA,0.819779831,NA,0.811,NA
Centropus_phasianinus,NA,NA,NA,NA,1.415853163,NA,1.438,NA
Cepphus_columba,1.386294361,1.335001067,1.360647714,NA,NA,NA,NA,NA
Cepphus_grylle,1.150572028,1.25846099,1.204516509,NA,1.283707772,NA,NA,NA
Cercomacra_nigrescens,NA,NA,NA,NA,-0.174353387,NA,-0.205,NA
Cercomacra_tyrannina,NA,NA,NA,NA,-0.301105093,NA,-0.299,NA
Cereopsis_novaehollandiae,NA,NA,NA,NA,2.178155015,NA,2.175,NA
Cerorhinca_monocerata,1.521698998,1.54329811,1.532498554,NA,1.532556868,NA,NA,NA
Certhia_familiaris,NA,NA,NA,NA,-0.94160854,NA,-0.942,NA
Certhiaxis_cinnamomeus,NA,NA,NA,NA,NA,NA,-0.377,NA
Certhionyx_niger,NA,NA,NA,NA,NA,NA,-0.892,NA
Certhionyx_variegatus,NA,NA,NA,NA,NA,NA,-0.02,NA
Ceyx_lepidus,NA,NA,NA,NA,-0.579818495,NA,-0.482,NA
Chalcophaps_indica,NA,NA,NA,NA,0.223143551,NA,0.306,NA
Chalcophaps_stephani,NA,NA,NA,NA,NA,NA,0.049,NA
Chalcopsitta_atra,NA,NA,NA,NA,NA,1.686398954,NA,NA
Chalcopsitta_cardinalis,NA,NA,NA,NA,NA,1.658228077,NA,NA
Chamaea_fasciata,NA,NA,NA,NA,-0.261364764,NA,-0.342,NA
Charadrius_alexandrinus,-0.094310679,-0.127833372,-0.111072026,NA,NA,NA,-0.117,NA
Charadrius_australis,NA,NA,NA,NA,NA,NA,0.14,NA
Charadrius_bicinctus,0.139761942,0.067658648,0.103710295,NA,0.104360015,NA,0.098,NA
Charadrius_collaris,-0.287682072,-0.235722334,-0.261702203,NA,NA,NA,NA,NA
Charadrius_falklandicus,0.048790164,0.157003749,0.102896957,NA,NA,NA,0.154,NA
Charadrius_leschenaultii,0.2390169,0.223143551,0.231080226,NA,0.231111721,NA,0.253,NA
Charadrius_melodus,0.029558802,-0.061875404,-0.016158301,NA,NA,NA,-0.041,NA
Charadrius_modestus,0.285178942,0.139761942,0.212470442,NA,NA,NA,0.216,NA
Charadrius_mongolus,0.104360015,0.139761942,0.122060979,NA,0.122217633,NA,0.13,NA
