"scientific_name","social"
"Macropygia doreya",1
"Macropygia emiliana",0
"Macropygia magna",0
"Macropygia tenuirostris",0
"Macropygia nigrirostris",0
"Macropygia mackinlayi",0
"Macropygia ruficeps",1
"Reinwardtoena reinwardti",0
"Reinwardtoena browni",0
"Reinwardtoena crassirostris",0
"Turacoena manadensis",0
"Turacoena sulaensis",0
"Turacoena modesta",0
"Turtur afer",0
"Turtur tympanistria",1
"Turtur brehmeri",0
"Oena capensis",1
"Chalcophaps indica",0
"Chalcophaps stephani",0
"Henicophaps albifrons",0
"Ocyphaps lophotes",1
"Geophaps plumifera",1
"Geophaps smithii",1
"Trugon terrestris",0
"Leucosarcia melanoleuca",0
"Geopelia cuneata",1
"Geopelia striata",0
"Geopelia placida",0
"Geopelia maugeus",1
"Geopelia humeralis",1
"Columbina squammata",0
"Columbina passerina",0
"Columbina minuta",0
"Columbina talpacoti",1
"Columbina picui",1
"Columbina cyanopis",0
"Claravis pretiosa",0
"Paraclaravis geoffroyi",1
"Paraclaravis mondetoura",1
"Metriopelia ceciliae",0
"Metriopelia morenoi",1
"Metriopelia melanoptera",1
"Metriopelia aymara",1
"Uropelia campestris",0
"Starnoenas cyanocephala",0
"Geotrygon purpurata",0
"Geotrygon saphirina",0
"Geotrygon montana",0
"Geotrygon mystacea",0
"Leptotrygon veraguensis",0
"Leptotila verreauxi",0
"Leptotila megalura",0
"Leptotila pallida",0
"Leptotila battyi",0
"Leptotila wellsi",0
"Leptotila jamaicensis",0
"Leptotila cassinii",0
"Leptotila ochraceiventris",0
"Zentrygon carrikeri",0
"Zentrygon costaricensis",0
"Zentrygon lawrencii",0
"Zentrygon frenata",0
"Zentrygon linearis",0
"Zentrygon chiriquensis",0
"Zenaida graysoni",0
"Zenaida auriculata",1
"Zenaida aurita",1
"Zenaida galapagoensis",0
"Zenaida asiatica",0
"Zenaida meloda",0
"Caloenas nicobarica",0
"Gallicolumba tristigmata",0
"Gallicolumba rufigula",0
"Pampusana hoedtii",0
"Microgoura meeki",1
"Otidiphaps nobilis",0
"Goura cristata",1
"Goura scheepmakeri",1
"Goura victoria",1
"Treron fulvicollis",0
"Treron olax",1
"Treron vernans",1
"Treron bicinctus",1
"Treron pompadora",1
"Treron affinis",1
"Treron axillaris",1
"Treron aromaticus",0
"Treron curvirostra",1
"Treron griseicauda",1
"Treron teysmannii",1
"Treron floris",1
"Treron psittaceus",1
"Treron capellei",1
"Treron phoenicopterus",1
"Treron waalia",1
"Treron australis",1
"Treron calvus",1
"Treron pembaensis",1
"Treron apicauda",1
"Treron oxyurus",1
"Treron sphenurus",1
"Treron sieboldii",1
