"scientific_name","order","family","genus","species","colonial","social","pairs_and_family_groups","singly_and_pairs","solitary"
"Lophodytes cucullatus","Anseriformes","Anatidae","Lophodytes","cucullatus",0,0,0,1,0
"Mergus australis","Anseriformes","Anatidae","Mergus","australis",0,0,0,1,0
"Mergus octosetaceus","Anseriformes","Anatidae","Mergus","octosetaceus",0,0,1,1,0
"Mergus merganser","Anseriformes","Anatidae","Mergus","merganser",0,1,1,1,0
"Mergus serrator","Anseriformes","Anatidae","Mergus","serrator",0,1,0,0,0
"Mergus squamatus","Anseriformes","Anatidae","Mergus","squamatus",0,0,0,1,0
"Heteronetta atricapilla","Anseriformes","Anatidae","Heteronetta","atricapilla",0,1,0,0,0
"Nomonyx dominicus","Anseriformes","Anatidae","Nomonyx","dominicus",0,1,1,1,0
"Oxyura jamaicensis","Anseriformes","Anatidae","Oxyura","jamaicensis",0,0,0,1,0
"Oxyura ferruginea","Anseriformes","Anatidae","Oxyura","ferruginea",0,0,0,1,0
"Oxyura vittata","Anseriformes","Anatidae","Oxyura","vittata",0,0,1,0,0
"Oxyura australis","Anseriformes","Anatidae","Oxyura","australis",0,0,0,1,0
"Oxyura maccoa","Anseriformes","Anatidae","Oxyura","maccoa",0,1,0,0,0
"Oxyura leucocephala","Anseriformes","Anatidae","Oxyura","leucocephala",0,0,0,1,0
"Biziura lobata","Anseriformes","Anatidae","Biziura","lobata",0,0,0,1,0
"Alectura lathami","Galliformes","Megapodiidae","Alectura","lathami",NA,NA,NA,NA,NA
"Aepypodius arfakianus","Galliformes","Megapodiidae","Aepypodius","arfakianus",0,0,0,1,0
"Aepypodius bruijnii","Galliformes","Megapodiidae","Aepypodius","bruijnii",NA,NA,NA,NA,NA
"Talegalla cuvieri","Galliformes","Megapodiidae","Talegalla","cuvieri",NA,NA,NA,NA,NA
"Talegalla fuscirostris","Galliformes","Megapodiidae","Talegalla","fuscirostris",0,0,0,1,0
"Talegalla jobiensis","Galliformes","Megapodiidae","Talegalla","jobiensis",NA,NA,NA,NA,NA
"Leipoa ocellata","Galliformes","Megapodiidae","Leipoa","ocellata",NA,NA,NA,NA,NA
"Macrocephalon maleo","Galliformes","Megapodiidae","Macrocephalon","maleo",1,0,0,0,0
"Eulipoa wallacei","Galliformes","Megapodiidae","Eulipoa","wallacei",1,0,0,0,0
"Megapodius pritchardii","Galliformes","Megapodiidae","Megapodius","pritchardii",0,0,0,1,0
"Megapodius laperouse","Galliformes","Megapodiidae","Megapodius","laperouse",0,0,0,1,0
"Megapodius nicobariensis","Galliformes","Megapodiidae","Megapodius","nicobariensis",0,0,1,0,0
"Megapodius cumingii","Galliformes","Megapodiidae","Megapodius","cumingii",NA,NA,NA,NA,NA
"Megapodius bernsteinii","Galliformes","Megapodiidae","Megapodius","bernsteinii",0,0,1,0,0
"Megapodius tenimberensis","Galliformes","Megapodiidae","Megapodius","tenimberensis",0,0,0,1,0
"Megapodius freycinet","Galliformes","Megapodiidae","Megapodius","freycinet",0,0,0,1,0
